"","DateTime","count","DepDelay"
"409","2006-1-23-8",1300,5.30769230769231
"410","2006-1-23-9",1059,8.84230406043437
"411","2006-1-23-NA",668,NA
"412","2006-1-24-",27,3.59259259259259
"413","2006-1-24-1",9,11.8888888888889
"414","2006-1-24-10",1138,3.48066783831283
"415","2006-1-24-11",1169,4.04020530367836
"416","2006-1-24-12",1140,1.94298245614035
"417","2006-1-24-13",1147,3.14036617262424
"418","2006-1-24-14",1216,2.33634868421053
"419","2006-1-24-15",1199,3.01584653878232
"420","2006-1-24-16",1160,1.65086206896552
"421","2006-1-24-17",1319,2.64442759666414
"422","2006-1-24-18",1175,3.06978723404255
"423","2006-1-24-19",998,4.72244488977956
"424","2006-1-24-2",2,-9
"425","2006-1-24-20",770,5.95974025974026
"426","2006-1-24-21",604,9.37913907284768
"427","2006-1-24-22",249,13.6064257028112
"428","2006-1-24-23",87,6.81609195402299
"429","2006-1-24-3",1,12
"430","2006-1-24-4",8,-2.375
"431","2006-1-24-5",327,-5.16207951070336
"432","2006-1-24-6",1260,-2.79206349206349
"433","2006-1-24-7",1179,-0.548770144189991
"434","2006-1-24-8",1270,1.89763779527559
"435","2006-1-24-9",1088,2.73897058823529
"436","2006-1-24-NA",188,NA
"437","2006-1-25-",24,3.79166666666667
"438","2006-1-25-1",11,5.72727272727273
"439","2006-1-25-10",1154,1.18804159445407
"440","2006-1-25-11",1165,1.85150214592275
"441","2006-1-25-12",1146,0.607329842931937
"442","2006-1-25-13",1148,1.24564459930314
"443","2006-1-25-14",1171,1.54141759180188
"444","2006-1-25-15",1165,2.61030042918455
"445","2006-1-25-16",1162,3.39672977624785
"446","2006-1-25-17",1309,4.73720397249809
"447","2006-1-25-18",1221,5.53153153153153
"448","2006-1-25-19",1030,5.06699029126214
"449","2006-1-25-2",2,-7
"450","2006-1-25-20",816,4.64828431372549
"451","2006-1-25-21",573,4.54101221640489
"452","2006-1-25-22",235,5.1063829787234
"453","2006-1-25-23",84,3.51190476190476
"454","2006-1-25-4",8,-8.125
"455","2006-1-25-5",348,-5.27298850574713
"456","2006-1-25-6",1280,-3.19375
"457","2006-1-25-7",1211,-1.88852188274154
"458","2006-1-25-8",1238,-1.07996768982229
"459","2006-1-25-9",1081,1.19518963922294
"460","2006-1-25-NA",181,NA
"461","2006-1-26-",39,9.38461538461539
"462","2006-1-26-1",8,14.125
"463","2006-1-26-10",1233,0.633414436334144
"464","2006-1-26-11",1218,0.376026272577997
"465","2006-1-26-12",1235,0.982995951417004
"466","2006-1-26-13",1178,1.84295415959253
"467","2006-1-26-14",1241,1.68573730862208
"468","2006-1-26-15",1194,2.62479061976549
"469","2006-1-26-16",1214,2.89373970345964
"470","2006-1-26-17",1312,2.29649390243902
"471","2006-1-26-18",1239,4.21953188054883
"472","2006-1-26-19",1037,6.00964320154291
"473","2006-1-26-2",3,-9.33333333333333
"474","2006-1-26-20",847,5.75442739079103
"475","2006-1-26-21",597,7.63149078726968
"476","2006-1-26-22",265,9.71320754716981
"477","2006-1-26-23",107,13.6355140186916
"478","2006-1-26-24",1,1
"479","2006-1-26-4",8,-3.25
"480","2006-1-26-5",348,-5.42816091954023
"481","2006-1-26-6",1302,-2.88786482334869
"482","2006-1-26-7",1230,-1.52276422764228
"483","2006-1-26-8",1339,-1.28379387602689
"484","2006-1-26-9",1155,0.194805194805195
"485","2006-1-26-NA",140,NA
"486","2006-1-27-",45,10.8222222222222
"487","2006-1-27-1",10,20.8
"488","2006-1-27-10",1231,0.878960194963444
"489","2006-1-27-11",1230,1.3869918699187
"490","2006-1-27-12",1226,1.58238172920065
"491","2006-1-27-13",1174,3.19420783645656
"492","2006-1-27-14",1232,4.27191558441558
"493","2006-1-27-15",1229,4.06916192026037
"494","2006-1-27-16",1204,3.80813953488372
"495","2006-1-27-17",1338,3.99252615844544
"496","2006-1-27-18",1219,4.67104183757178
"497","2006-1-27-19",1046,6.45411089866157
"498","2006-1-27-2",4,-2
"499","2006-1-27-20",842,7.02850356294537
"500","2006-1-27-21",591,8.47038917089679
"501","2006-1-27-22",290,9.1448275862069
"502","2006-1-27-23",103,10.7184466019417
"503","2006-1-27-24",4,4.25
"504","2006-1-27-4",8,-6.125
"505","2006-1-27-5",344,-4.92732558139535
"506","2006-1-27-6",1292,-2.63931888544892
"507","2006-1-27-7",1256,-1.14171974522293
"508","2006-1-27-8",1317,-0.249810174639332
"509","2006-1-27-9",1166,0.563464837049743
"510","2006-1-27-NA",163,NA
"511","2006-1-28-",34,8.20588235294118
"512","2006-1-28-1",6,-4.16666666666667
"513","2006-1-28-10",1103,2.94832275611967
